,,,,,,,,
KEBUTUHAN FUNGSIONAL APLIKASI DAN API,,,,,,,,
SKEMA TUGAS BESAR MATA KULIAH RPL 2,,,,,,,,
Dosen,"M. Yusril Helmi Setyawan, S.Kom., M.Kom.",,,,,,,
,,,,,,,,
Kelompok,Aplikasi,Fitur,Deskripsi,Input,Proses,Output,Endpoint API,Desain
,Marketplace,Checkout,User melakukan pembelian,"user_id, parameter terkait fitur 'Checkout'",Validasi input → proses 'Checkout' → jika transaksi integrasi SmartBank → simpan hasil,status + data hasil 'Checkout',/marketplace/checkout,"Buat fitur 'Checkout' pada aplikasi Marketplace.
Deskripsi: User melakukan pembelian

Gunakan REST API dengan spesifikasi:
- Input: user_id, parameter terkait fitur 'Checkout'
- Proses: Validasi input → proses 'Checkout' → jika transaksi integrasi SmartBank → simpan hasil
- Output: status + data hasil 'Checkout'
- Endpoint: /marketplace/checkout

Ketentuan:
- Gunakan MVC / Clean Code
- Validasi semua input
- Jika transaksi → wajib integrasi SmartBank
- Gunakan JSON"
,Marketplace,Integrasi pembayaran,Kirim request ke SmartBank,"user_id, parameter terkait fitur 'Integrasi pembayaran'",Validasi input → proses 'Integrasi pembayaran' → jika transaksi integrasi SmartBank → simpan hasil,status + data hasil 'Integrasi pembayaran',/marketplace/integrasi_pembayaran,"Buat fitur 'Integrasi pembayaran' pada aplikasi Marketplace.
Deskripsi: Kirim request ke SmartBank

Gunakan REST API dengan spesifikasi:
- Input: user_id, parameter terkait fitur 'Integrasi pembayaran'
- Proses: Validasi input → proses 'Integrasi pembayaran' → jika transaksi integrasi SmartBank → simpan hasil
- Output: status + data hasil 'Integrasi pembayaran'
- Endpoint: /marketplace/integrasi_pembayaran

Ketentuan:
- Gunakan MVC / Clean Code
- Validasi semua input
- Jika transaksi → wajib integrasi SmartBank
- Gunakan JSON"
,Marketplace,Status order,Melihat status pesanan,"user_id, parameter terkait fitur 'Status order'",Validasi input → proses 'Status order' → jika transaksi integrasi SmartBank → simpan hasil,status + data hasil 'Status order',/marketplace/status_order,"Buat fitur 'Status order' pada aplikasi Marketplace.
Deskripsi: Melihat status pesanan

Gunakan REST API dengan spesifikasi:
- Input: user_id, parameter terkait fitur 'Status order'
- Proses: Validasi input → proses 'Status order' → jika transaksi integrasi SmartBank → simpan hasil
- Output: status + data hasil 'Status order'
- Endpoint: /marketplace/status_order

Ketentuan:
- Gunakan MVC / Clean Code
- Validasi semua input
- Jika transaksi → wajib integrasi SmartBank
- Gunakan JSON"
,Marketplace,Biaya layanan marketplace,Potongan fee marketplace dari setiap transaksi,"user_id, parameter terkait fitur 'Biaya layanan marketplace'",Validasi input → proses 'Biaya layanan marketplace' → jika transaksi integrasi SmartBank → simpan hasil,status + data hasil 'Biaya layanan marketplace',/marketplace/biaya_layanan_marketplace,"Buat fitur 'Biaya layanan marketplace' pada aplikasi Marketplace.
Deskripsi: Potongan fee marketplace dari setiap transaksi

Gunakan REST API dengan spesifikasi:
- Input: user_id, parameter terkait fitur 'Biaya layanan marketplace'
- Proses: Validasi input → proses 'Biaya layanan marketplace' → jika transaksi integrasi SmartBank → simpan hasil
- Output: status + data hasil 'Biaya layanan marketplace'
- Endpoint: /marketplace/biaya_layanan_marketplace

Ketentuan:
- Gunakan MVC / Clean Code
- Validasi semua input
- Jika transaksi → wajib integrasi SmartBank
- Gunakan JSON"
3,POS,Input transaksi,Kasir input barang,"user_id, parameter terkait fitur 'Input transaksi'",Validasi input → proses 'Input transaksi' → jika transaksi integrasi SmartBank → simpan hasil,status + data hasil 'Input transaksi',/pos/input_transaksi,"Buat fitur 'Input transaksi' pada aplikasi POS.
Deskripsi: Kasir input barang

Gunakan REST API dengan spesifikasi:
- Input: user_id, parameter terkait fitur 'Input transaksi'
- Proses: Validasi input → proses 'Input transaksi' → jika transaksi integrasi SmartBank → simpan hasil
- Output: status + data hasil 'Input transaksi'
- Endpoint: /pos/input_transaksi

Ketentuan:
- Gunakan MVC / Clean Code
- Validasi semua input
- Jika transaksi → wajib integrasi SmartBank
- Gunakan JSON"
,POS,Generate tagihan,Hitung total belanja,"user_id, parameter terkait fitur 'Generate tagihan'",Validasi input → proses 'Generate tagihan' → jika transaksi integrasi SmartBank → simpan hasil,status + data hasil 'Generate tagihan',/pos/generate_tagihan,"Buat fitur 'Generate tagihan' pada aplikasi POS.
Deskripsi: Hitung total belanja

Gunakan REST API dengan spesifikasi:
- Input: user_id, parameter terkait fitur 'Generate tagihan'
- Proses: Validasi input → proses 'Generate tagihan' → jika transaksi integrasi SmartBank → simpan hasil
- Output: status + data hasil 'Generate tagihan'
- Endpoint: /pos/generate_tagihan

Ketentuan:
- Gunakan MVC / Clean Code
- Validasi semua input
- Jika transaksi → wajib integrasi SmartBank
- Gunakan JSON"
,POS,Pembayaran,Integrasi ke SmartBank,"user_id, parameter terkait fitur 'Pembayaran'",Validasi input → proses 'Pembayaran' → jika transaksi integrasi SmartBank → simpan hasil,status + data hasil 'Pembayaran',/pos/pembayaran,"Buat fitur 'Pembayaran' pada aplikasi POS.
Deskripsi: Integrasi ke SmartBank

Gunakan REST API dengan spesifikasi:
- Input: user_id, parameter terkait fitur 'Pembayaran'
- Proses: Validasi input → proses 'Pembayaran' → jika transaksi integrasi SmartBank → simpan hasil
- Output: status + data hasil 'Pembayaran'
- Endpoint: /pos/pembayaran

Ketentuan:
- Gunakan MVC / Clean Code
- Validasi semua input
- Jika transaksi → wajib integrasi SmartBank
- Gunakan JSON"
,POS,Riwayat transaksi,Simpan histori transaksi,"user_id, parameter terkait fitur 'Riwayat transaksi'",Validasi input → proses 'Riwayat transaksi' → jika transaksi integrasi SmartBank → simpan hasil,status + data hasil 'Riwayat transaksi',/pos/riwayat_transaksi,"Buat fitur 'Riwayat transaksi' pada aplikasi POS.
Deskripsi: Simpan histori transaksi

Gunakan REST API dengan spesifikasi:
- Input: user_id, parameter terkait fitur 'Riwayat transaksi'
- Proses: Validasi input → proses 'Riwayat transaksi' → jika transaksi integrasi SmartBank → simpan hasil
- Output: status + data hasil 'Riwayat transaksi'
- Endpoint: /pos/riwayat_transaksi

Ketentuan:
- Gunakan MVC / Clean Code
- Validasi semua input
- Jika transaksi → wajib integrasi SmartBank
- Gunakan JSON"
,POS,Biaya layanan POS,Potongan biaya layanan untuk setiap transaksi,"user_id, parameter terkait fitur 'Biaya layanan POS'",Validasi input → proses 'Biaya layanan POS' → jika transaksi integrasi SmartBank → simpan hasil,status + data hasil 'Biaya layanan POS',/pos/biaya_layanan_pos,"Buat fitur 'Biaya layanan POS' pada aplikasi POS.
Deskripsi: Potongan biaya layanan untuk setiap transaksi

Gunakan REST API dengan spesifikasi:
- Input: user_id, parameter terkait fitur 'Biaya layanan POS'
- Proses: Validasi input → proses 'Biaya layanan POS' → jika transaksi integrasi SmartBank → simpan hasil
- Output: status + data hasil 'Biaya layanan POS'
- Endpoint: /pos/biaya_layanan_pos

Ketentuan:
- Gunakan MVC / Clean Code
- Validasi semua input
- Jika transaksi → wajib integrasi SmartBank
- Gunakan JSON"
4,SupplierHub,Manajemen bahan baku,Kelola stok bahan,"user_id, parameter terkait fitur 'Manajemen bahan baku'",Validasi input → proses 'Manajemen bahan baku' → jika transaksi integrasi SmartBank → simpan hasil,status + data hasil 'Manajemen bahan baku',/supplierhub/manajemen_bahan_baku,"Buat fitur 'Manajemen bahan baku' pada aplikasi SupplierHub.
Deskripsi: Kelola stok bahan

Gunakan REST API dengan spesifikasi:
- Input: user_id, parameter terkait fitur 'Manajemen bahan baku'
- Proses: Validasi input → proses 'Manajemen bahan baku' → jika transaksi integrasi SmartBank → simpan hasil
- Output: status + data hasil 'Manajemen bahan baku'
- Endpoint: /supplierhub/manajemen_bahan_baku

Ketentuan:
- Gunakan MVC / Clean Code
- Validasi semua input
- Jika transaksi → wajib integrasi SmartBank
- Gunakan JSON"
,SupplierHub,Order bahan,UMKM memesan bahan,"user_id, parameter terkait fitur 'Order bahan'",Validasi input → proses 'Order bahan' → jika transaksi integrasi SmartBank → simpan hasil,status + data hasil 'Order bahan',/supplierhub/order_bahan,"Buat fitur 'Order bahan' pada aplikasi SupplierHub.
Deskripsi: UMKM memesan bahan

Gunakan REST API dengan spesifikasi:
- Input: user_id, parameter terkait fitur 'Order bahan'
- Proses: Validasi input → proses 'Order bahan' → jika transaksi integrasi SmartBank → simpan hasil
- Output: status + data hasil 'Order bahan'
- Endpoint: /supplierhub/order_bahan

Ketentuan:
- Gunakan MVC / Clean Code
- Validasi semua input
- Jika transaksi → wajib integrasi SmartBank
- Gunakan JSON"
,SupplierHub,Konfirmasi stok,Supplier konfirmasi stok,"user_id, parameter terkait fitur 'Konfirmasi stok'",Validasi input → proses 'Konfirmasi stok' → jika transaksi integrasi SmartBank → simpan hasil,status + data hasil 'Konfirmasi stok',/supplierhub/konfirmasi_stok,"Buat fitur 'Konfirmasi stok' pada aplikasi SupplierHub.
Deskripsi: Supplier konfirmasi stok

Gunakan REST API dengan spesifikasi:
- Input: user_id, parameter terkait fitur 'Konfirmasi stok'
- Proses: Validasi input → proses 'Konfirmasi stok' → jika transaksi integrasi SmartBank → simpan hasil
- Output: status + data hasil 'Konfirmasi stok'
- Endpoint: /supplierhub/konfirmasi_stok

Ketentuan:
- Gunakan MVC / Clean Code
- Validasi semua input
- Jika transaksi → wajib integrasi SmartBank
- Gunakan JSON"
,SupplierHub,Pembayaran,Integrasi ke SmartBank,"user_id, parameter terkait fitur 'Pembayaran'",Validasi input → proses 'Pembayaran' → jika transaksi integrasi SmartBank → simpan hasil,status + data hasil 'Pembayaran',/supplierhub/pembayaran,"Buat fitur 'Pembayaran' pada aplikasi SupplierHub.
Deskripsi: Integrasi ke SmartBank

Gunakan REST API dengan spesifikasi:
- Input: user_id, parameter terkait fitur 'Pembayaran'
- Proses: Validasi input → proses 'Pembayaran' → jika transaksi integrasi SmartBank → simpan hasil
- Output: status + data hasil 'Pembayaran'
- Endpoint: /supplierhub/pembayaran

Ketentuan:
- Gunakan MVC / Clean Code
- Validasi semua input
- Jika transaksi → wajib integrasi SmartBank
- Gunakan JSON"
,SupplierHub,Biaya layanan supplier,Potongan fee supplier untuk setiap transaksi,"user_id, parameter terkait fitur 'Biaya layanan supplier'",Validasi input → proses 'Biaya layanan supplier' → jika transaksi integrasi SmartBank → simpan hasil,status + data hasil 'Biaya layanan supplier',/supplierhub/biaya_layanan_supplier,"Buat fitur 'Biaya layanan supplier' pada aplikasi SupplierHub.
Deskripsi: Potongan fee supplier untuk setiap transaksi

Gunakan REST API dengan spesifikasi:
- Input: user_id, parameter terkait fitur 'Biaya layanan supplier'
- Proses: Validasi input → proses 'Biaya layanan supplier' → jika transaksi integrasi SmartBank → simpan hasil
- Output: status + data hasil 'Biaya layanan supplier'
- Endpoint: /supplierhub/biaya_layanan_supplier

Ketentuan:
- Gunakan MVC / Clean Code
- Validasi semua input
- Jika transaksi → wajib integrasi SmartBank
- Gunakan JSON"
5,LogistiKita,Request pengiriman,Menerima permintaan pengiriman,"user_id, parameter terkait fitur 'Request pengiriman'",Validasi input → proses 'Request pengiriman' → jika transaksi integrasi SmartBank → simpan hasil,status + data hasil 'Request pengiriman',/logistikita/request_pengiriman,"Buat fitur 'Request pengiriman' pada aplikasi LogistiKita.
Deskripsi: Menerima permintaan pengiriman

Gunakan REST API dengan spesifikasi:
- Input: user_id, parameter terkait fitur 'Request pengiriman'
- Proses: Validasi input → proses 'Request pengiriman' → jika transaksi integrasi SmartBank → simpan hasil
- Output: status + data hasil 'Request pengiriman'
- Endpoint: /logistikita/request_pengiriman

Ketentuan:
- Gunakan MVC / Clean Code
- Validasi semua input
- Jika transaksi → wajib integrasi SmartBank
- Gunakan JSON"
,LogistiKita,Tracking status,Update status pengiriman,"user_id, parameter terkait fitur 'Tracking status'",Validasi input → proses 'Tracking status' → jika transaksi integrasi SmartBank → simpan hasil,status + data hasil 'Tracking status',/logistikita/tracking_status,"Buat fitur 'Tracking status' pada aplikasi LogistiKita.
Deskripsi: Update status pengiriman

Gunakan REST API dengan spesifikasi:
- Input: user_id, parameter terkait fitur 'Tracking status'
- Proses: Validasi input → proses 'Tracking status' → jika transaksi integrasi SmartBank → simpan hasil
- Output: status + data hasil 'Tracking status'
- Endpoint: /logistikita/tracking_status

Ketentuan:
- Gunakan MVC / Clean Code
- Validasi semua input
- Jika transaksi → wajib integrasi SmartBank
- Gunakan JSON"
,LogistiKita,Biaya pengiriman,Hitung ongkir,"user_id, parameter terkait fitur 'Biaya pengiriman'",Validasi input → proses 'Biaya pengiriman' → jika transaksi integrasi SmartBank → simpan hasil,status + data hasil 'Biaya pengiriman',/logistikita/biaya_pengiriman,"Buat fitur 'Biaya pengiriman' pada aplikasi LogistiKita.
Deskripsi: Hitung ongkir

Gunakan REST API dengan spesifikasi:
- Input: user_id, parameter terkait fitur 'Biaya pengiriman'
- Proses: Validasi input → proses 'Biaya pengiriman' → jika transaksi integrasi SmartBank → simpan hasil
- Output: status + data hasil 'Biaya pengiriman'
- Endpoint: /logistikita/biaya_pengiriman

Ketentuan:
- Gunakan MVC / Clean Code
- Validasi semua input
- Jika transaksi → wajib integrasi SmartBank
- Gunakan JSON"
,LogistiKita,Pembayaran logistik,Pembayaran ongkir via SmartBank,"user_id, parameter terkait fitur 'Pembayaran logistik'",Validasi input → proses 'Pembayaran logistik' → jika transaksi integrasi SmartBank → simpan hasil,status + data hasil 'Pembayaran logistik',/logistikita/pembayaran_logistik,"Buat fitur 'Pembayaran logistik' pada aplikasi LogistiKita.
Deskripsi: Pembayaran ongkir via SmartBank

Gunakan REST API dengan spesifikasi:
- Input: user_id, parameter terkait fitur 'Pembayaran logistik'
- Proses: Validasi input → proses 'Pembayaran logistik' → jika transaksi integrasi SmartBank → simpan hasil
- Output: status + data hasil 'Pembayaran logistik'
- Endpoint: /logistikita/pembayaran_logistik

Ketentuan:
- Gunakan MVC / Clean Code
- Validasi semua input
- Jika transaksi → wajib integrasi SmartBank
- Gunakan JSON"
,LogistiKita,Biaya layanan logistik,Potongan fee layanan logistik,"user_id, parameter terkait fitur 'Biaya layanan logistik'",Validasi input → proses 'Biaya layanan logistik' → jika transaksi integrasi SmartBank → simpan hasil,status + data hasil 'Biaya layanan logistik',/logistikita/biaya_layanan_logistik,"Buat fitur 'Biaya layanan logistik' pada aplikasi LogistiKita.
Deskripsi: Potongan fee layanan logistik

Gunakan REST API dengan spesifikasi:
- Input: user_id, parameter terkait fitur 'Biaya layanan logistik'
- Proses: Validasi input → proses 'Biaya layanan logistik' → jika transaksi integrasi SmartBank → simpan hasil
- Output: status + data hasil 'Biaya layanan logistik'
- Endpoint: /logistikita/biaya_layanan_logistik

Ketentuan:
- Gunakan MVC / Clean Code
- Validasi semua input
- Jika transaksi → wajib integrasi SmartBank
- Gunakan JSON"
6,UMKM Insight,Ambil data transaksi,Mengambil data dari SmartBank,"user_id, parameter terkait fitur 'Ambil data transaksi'",Validasi input → proses 'Ambil data transaksi' → jika transaksi integrasi SmartBank → simpan hasil,status + data hasil 'Ambil data transaksi',/umkm_insight/ambil_data_transaksi,"Buat fitur 'Ambil data transaksi' pada aplikasi UMKM Insight.
Deskripsi: Mengambil data dari SmartBank

Gunakan REST API dengan spesifikasi:
- Input: user_id, parameter terkait fitur 'Ambil data transaksi'
- Proses: Validasi input → proses 'Ambil data transaksi' → jika transaksi integrasi SmartBank → simpan hasil
- Output: status + data hasil 'Ambil data transaksi'
- Endpoint: /umkm_insight/ambil_data_transaksi

Ketentuan:
- Gunakan MVC / Clean Code
- Validasi semua input
- Jika transaksi → wajib integrasi SmartBank
- Gunakan JSON"
,UMKM Insight,Analisis penjualan,Mengolah data transaksi,"user_id, parameter terkait fitur 'Analisis penjualan'",Validasi input → proses 'Analisis penjualan' → jika transaksi integrasi SmartBank → simpan hasil,status + data hasil 'Analisis penjualan',/umkm_insight/analisis_penjualan,"Buat fitur 'Analisis penjualan' pada aplikasi UMKM Insight.
Deskripsi: Mengolah data transaksi

Gunakan REST API dengan spesifikasi:
- Input: user_id, parameter terkait fitur 'Analisis penjualan'
- Proses: Validasi input → proses 'Analisis penjualan' → jika transaksi integrasi SmartBank → simpan hasil
- Output: status + data hasil 'Analisis penjualan'
- Endpoint: /umkm_insight/analisis_penjualan

Ketentuan:
- Gunakan MVC / Clean Code
- Validasi semua input
- Jika transaksi → wajib integrasi SmartBank
- Gunakan JSON"
,UMKM Insight,Dashboard,Visualisasi data,"user_id, parameter terkait fitur 'Dashboard'",Validasi input → proses 'Dashboard' → jika transaksi integrasi SmartBank → simpan hasil,status + data hasil 'Dashboard',/umkm_insight/dashboard,"Buat fitur 'Dashboard' pada aplikasi UMKM Insight.
Deskripsi: Visualisasi data

Gunakan REST API dengan spesifikasi:
- Input: user_id, parameter terkait fitur 'Dashboard'
- Proses: Validasi input → proses 'Dashboard' → jika transaksi integrasi SmartBank → simpan hasil
- Output: status + data hasil 'Dashboard'
- Endpoint: /umkm_insight/dashboard

Ketentuan:
- Gunakan MVC / Clean Code
- Validasi semua input
- Jika transaksi → wajib integrasi SmartBank
- Gunakan JSON"
,UMKM Insight,Biaya akses analytics,User membayar untuk akses dashboard premium,"user_id, parameter terkait fitur 'Biaya akses analytics'",Validasi input → proses 'Biaya akses analytics' → jika transaksi integrasi SmartBank → simpan hasil,status + data hasil 'Biaya akses analytics',/umkm_insight/biaya_akses_analytics,"Buat fitur 'Biaya akses analytics' pada aplikasi UMKM Insight.
Deskripsi: User membayar untuk akses dashboard premium

Gunakan REST API dengan spesifikasi:
- Input: user_id, parameter terkait fitur 'Biaya akses analytics'
- Proses: Validasi input → proses 'Biaya akses analytics' → jika transaksi integrasi SmartBank → simpan hasil
- Output: status + data hasil 'Biaya akses analytics'
- Endpoint: /umkm_insight/biaya_akses_analytics

Ketentuan:
- Gunakan MVC / Clean Code
- Validasi semua input
- Jika transaksi → wajib integrasi SmartBank
- Gunakan JSON"
7,Integrator,Routing API,Routing request antar service,"user_id, parameter terkait fitur 'Routing API'",Validasi input → proses 'Routing API' → jika transaksi integrasi SmartBank → simpan hasil,status + data hasil 'Routing API',/integrator/routing_api,"Buat fitur 'Routing API' pada aplikasi Integrator.
Deskripsi: Routing request antar service

Gunakan REST API dengan spesifikasi:
- Input: user_id, parameter terkait fitur 'Routing API'
- Proses: Validasi input → proses 'Routing API' → jika transaksi integrasi SmartBank → simpan hasil
- Output: status + data hasil 'Routing API'
- Endpoint: /integrator/routing_api

Ketentuan:
- Gunakan MVC / Clean Code
- Validasi semua input
- Jika transaksi → wajib integrasi SmartBank
- Gunakan JSON"
,Integrator,Validasi request,Validasi token,"user_id, parameter terkait fitur 'Validasi request'",Validasi input → proses 'Validasi request' → jika transaksi integrasi SmartBank → simpan hasil,status + data hasil 'Validasi request',/integrator/validasi_request,"Buat fitur 'Validasi request' pada aplikasi Integrator.
Deskripsi: Validasi token

Gunakan REST API dengan spesifikasi:
- Input: user_id, parameter terkait fitur 'Validasi request'
- Proses: Validasi input → proses 'Validasi request' → jika transaksi integrasi SmartBank → simpan hasil
- Output: status + data hasil 'Validasi request'
- Endpoint: /integrator/validasi_request

Ketentuan:
- Gunakan MVC / Clean Code
- Validasi semua input
- Jika transaksi → wajib integrasi SmartBank
- Gunakan JSON"
